Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
04/05/2022,0.17,0.17,0.38,0.39,0.65,0.66,1.11,1.13,1.69,1.73
04/04/2022,0.17,0.17,0.38,0.39,0.67,0.68,1.12,1.14,1.65,1.69
04/01/2022,0.15,0.15,0.36,0.37,0.52,0.53,1.05,1.07,1.65,1.69
03/31/2022,0.17,0.17,0.35,0.36,0.51,0.52,1.02,1.04,1.57,1.61
03/30/2022,0.13,0.13,0.29,0.29,0.55,0.56,1.01,1.03,1.58,1.62
03/29/2022,0.17,0.17,0.31,0.31,0.56,0.57,1.03,1.05,1.62,1.66
03/28/2022,0.18,0.18,0.33,0.33,0.60,0.61,1.06,1.08,1.63,1.67
03/25/2022,0.17,0.17,0.31,0.31,0.53,0.54,0.98,1.00,1.62,1.66
03/24/2022,0.16,0.16,0.31,0.31,0.50,0.51,0.93,0.95,1.51,1.55
03/23/2022,0.14,0.14,0.23,0.23,0.50,0.51,0.90,0.92,1.49,1.53
03/22/2022,0.20,0.20,0.27,0.27,0.51,0.52,0.94,0.96,1.56,1.60
03/21/2022,0.21,0.21,0.31,0.31,0.55,0.56,0.93,0.95,1.28,1.31
03/18/2022,0.19,0.19,0.28,0.28,0.41,0.42,0.80,0.81,1.19,1.22
03/17/2022,0.20,0.20,0.30,0.30,0.40,0.41,0.79,0.80,1.20,1.23
03/16/2022,0.23,0.23,0.28,0.28,0.43,0.44,0.84,0.86,1.26,1.29
03/15/2022,0.21,0.21,0.29,0.29,0.46,0.47,0.84,0.86,1.19,1.22
03/14/2022,0.22,0.22,0.30,0.30,0.45,0.46,0.84,0.86,1.20,1.23
